participant_id,household_size,contact_home,contact_work,contact_school,contact_transport,contact_leisure,contact_other,gender_female,gender_male,age_adult,age_elderly,age_young,age_years
29,4,1,0,0,0,0,0,0,1,0,0,1,2
29,4,1,0,0,0,0,0,0,1,0,0,1,2
29,4,1,0,0,0,0,0,0,1,0,0,1,7
29,4,1,0,0,0,0,0,0,1,1,0,0,39
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,0,0,1,0,0,0,0,1,1,0,0,27
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,0,0,1,0,0,0,0,1,1,0,0,47
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,1,0,0,0,0,0,0,1,1,0,0,40
29,4,0,0,1,0,0,0,0,1,1,0,0,27
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,1,0,0,0,0,0,0,1,0,1,0,73
29,4,1,0,0,0,0,0,0,1,0,1,0,73
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,1,0,0,0,0,0,0,1,1,0,0,39
29,4,0,0,1,0,0,0,0,1,1,0,0,27
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,1,0,0,0,0,0,0,1,1,0,0,40
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,1,0,0,0,0,0,0,1,0,0,1,7
30,4,0,0,1,0,0,0,0,1,0,0,1,8
30,4,0,0,1,0,0,0,0,1,0,0,1,8
30,4,1,0,0,0,0,0,0,1,0,1,0,75
30,4,1,0,0,0,0,0,0,1,1,0,0,41
30,4,0,0,0,0,1,0,0,1,1,0,0,42
30,4,0,0,0,0,1,0,0,1,0,0,1,8
30,4,1,0,0,0,0,0,0,1,0,0,1,6
30,4,0,0,1,0,0,0,0,1,0,0,1,8
30,4,0,0,1,0,0,0,0,1,1,0,0,32
30,4,1,0,0,0,0,0,0,1,1,0,0,57
30,4,0,0,1,0,0,0,0,1,0,0,1,8
30,4,1,0,0,0,0,0,0,1,1,0,0,41
30,4,0,0,0,0,1,0,0,1,0,0,1,8
30,4,0,0,0,0,1,0,0,1,0,0,1,8
30,4,1,0,0,0,0,0,0,1,0,0,1,1
30,4,0,0,1,0,0,0,0,1,0,0,1,8
30,4,0,0,1,0,0,0,0,1,1,0,0,27
30,4,1,0,0,0,0,0,0,1,1,0,0,65
30,4,1,0,0,0,0,0,0,1,0,1,0,82
30,4,1,0,0,0,0,0,0,1,1,0,0,38
